wd,1.2915496650148826e-09,1e-08,7.742636826811277e-08,5.994842503189409e-07,4.641588833612773e-06,3.5938136638046256e-05,0.0002782559402207126,0.002154434690031882,0.016681005372000558,0.12915496650148828,1.0,7.742636826811277,59.94842503189409,250,464.15888336127773
1e-09,"(1025, 109275)","(1015, 112070)","(1015, 112070)","(1015, 113495)","(1025, 112070)","(1040, 112070)","(990, 84895)","(950, 38810)","(785, 17970)","(515, 965)","(670, 1305)","(1390, 3315)","(3620, 150000)","(0, 150000)","(0, 150000)"
1e-08,"(1025, 113495)","(1015, 110665)","(1015, 113495)","(1015, 116395)","(1025, 107905)","(1040, 106550)","(990, 85970)","(950, 38325)","(785, 17745)","(515, 965)","(670, 1305)","(1390, 3315)","(3620, 150000)","(7910, 150000)","(0, 150000)"
1e-07,"(1025, 114935)","(1015, 114935)","(1015, 117875)","(1015, 123980)","(1025, 112070)","(1040, 112070)","(990, 84895)","(950, 39305)","(785, 17745)","(515, 965)","(670, 1305)","(1390, 3315)","(3440, 150000)","(9090, 150000)","(0, 150000)"
1e-06,"(1040, 110665)","(1040, 109275)","(1015, 116395)","(1015, 116395)","(1025, 109275)","(1040, 109275)","(990, 88170)","(950, 39305)","(785, 17745)","(515, 965)","(675, 1305)","(1390, 3230)","(3190, 150000)","(3620, 150000)","(3665, 150000)"
1e-05,"(1025, 113495)","(1040, 114935)","(1015, 110665)","(1025, 112070)","(1025, 109275)","(1040, 106550)","(990, 88170)","(950, 38810)","(780, 17970)","(515, 965)","(670, 1305)","(1320, 2995)","(2075, 3485)","(1460, 1880)","(1065, 1305)"
0.0001,"(1025, 109275)","(1025, 110665)","(1015, 112070)","(1025, 105215)","(1015, 113495)","(1025, 105215)","(1015, 84895)","(950, 40310)","(805, 17745)","(515, 965)","(660, 1255)","(1040, 1810)","(650, 840)","(280, 310)","(190, 195)"
0.001,"(1040, 100035)","(1025, 96315)","(1040, 91575)","(1040, 98780)","(1025, 98780)","(1015, 93915)","(990, 78700)","(950, 36900)","(805, 17085)","(500, 905)","(520, 895)","(370, 475)","(140, 145)","(95, 100)","(100, 100)"
0.01,"(1025, 49330)","(1025, 49960)","(1015, 49960)","(1025, 49960)","(1025, 49330)","(1015, 48100)","(1000, 44035)","(950, 24330)","(750, 13105)","(390, 590)","(210, 265)","(105, 110)","(85, 85)","(0, 150000)","(0, 150000)"
0.1,"(990, 11700)","(975, 11850)","(990, 11850)","(990, 11850)","(990, 11700)","(975, 11700)","(965, 10575)","(905, 5920)","(545, 1080)","(150, 180)","(80, 85)","(65, 65)","(0, 150000)","(0, 150000)","(0, 150000)"
1.0,"(660, 1425)","(660, 1425)","(660, 1425)","(660, 1425)","(660, 1425)","(660, 1405)","(645, 1305)","(555, 1515)","(160, 190)","(50, 50)","(55, 55)","(0, 150000)","(0, 150000)","(0, 150000)","(0, 150000)"
10.0,"(430, 465)","(435, 470)","(430, 465)","(435, 465)","(440, 470)","(460, 490)","(4155, 4315)","(2920, 3070)","(1855, 2130)","(3530, 4540)","(0, 150000)","(0, 150000)","(0, 150000)","(0, 150000)","(0, 150000)"
50.0,"(1390, 1830)","(1285, 1785)","(1460, 1785)","(1460, 1975)","(2510, 3395)","(15060, 16040)","(11850, 13275)","(11410, 11555)","(11410, 11410)","(0, 150000)","(0, 150000)","(0, 150000)","(0, 150000)","(0, 150000)","(0, 150000)"
100.0,"(5485, 6385)","(5485, 5995)","(5485, 6385)","(6465, 7150)","(0, 150000)","(0, 150000)","(0, 150000)","(0, 150000)","(0, 150000)","(0, 150000)","(0, 150000)","(0, 150000)","(0, 150000)","(0, 150000)","(0, 150000)"
300.0,"(0, 150000)","(0, 150000)","(0, 150000)","(0, 150000)","(0, 150000)","(0, 150000)","(0, 150000)","(0, 150000)","(0, 150000)","(0, 150000)","(0, 150000)","(0, 150000)","(0, 150000)","(0, 150000)","(0, 150000)"
