wd,1e-06,4.641588833612782e-06,2.1544346900318823e-05,0.0001,0.00046415888336127773,0.002154434690031882,0.01,0.046415888336127725,0.21544346900318823,1.0
1e-05,"(1025, 109275)","(1025, 107905)","(1015, 116395)","(1015, 102590)","(1000, 72045)","(950, 38810)","(860, 20390)","(595, 15840)","(515, 990)","(670, 1305)"
4.641588833612782e-05,"(1025, 112070)","(1015, 107905)","(1015, 112070)","(1015, 101305)","(1000, 70250)","(950, 39305)","(860, 20135)","(595, 15060)","(515, 990)","(660, 1270)"
0.0002154434690031,"(1025, 110665)","(1025, 114935)","(1015, 109275)","(1015, 103895)","(1000, 68495)","(940, 39305)","(850, 20135)","(595, 15250)","(515, 950)","(630, 1195)"
0.001,"(1025, 98780)","(1025, 96315)","(1025, 95110)","(1000, 90425)","(1000, 67640)","(950, 36900)","(860, 19385)","(595, 4835)","(490, 860)","(520, 895)"
0.0046415888336127,"(1040, 68495)","(1025, 67640)","(1015, 68495)","(1015, 65950)","(1015, 51235)","(940, 30535)","(850, 17745)","(560, 2155)","(415, 670)","(315, 430)"
0.0215443469003188,"(1015, 33355)","(1015, 32525)","(1015, 31715)","(1000, 31715)","(1000, 27605)","(950, 18430)","(840, 11125)","(460, 925)","(260, 355)","(135, 160)"
0.1,"(990, 11700)","(990, 11850)","(975, 11850)","(975, 11410)","(965, 9930)","(905, 5920)","(705, 1880)","(270, 375)","(115, 135)","(80, 85)"
0.4641588833612772,"(830, 2810)","(830, 2845)","(820, 2775)","(830, 2675)","(820, 2355)","(720, 1615)","(380, 535)","(110, 130)","(60, 70)","(50, 50)"
2.154434690031882,"(475, 780)","(475, 780)","(475, 785)","(465, 770)","(460, 770)","(505, 1880)","(155, 1370)","(55, 55)","(40, 40)","(0, 150000)"
10.0,"(435, 470)","(440, 470)","(440, 475)","(505, 535)","(3760, 3855)","(2920, 3070)","(1000, 1785)","(45, 1575)","(0, 150000)","(0, 150000)"
